iṃ	29284	0.002136341700866202
ṭī	105	7.660014977153093E-6
§bh	112208	0.008185856767203755
iṅ	675	4.92429534245556E-5
iṇ	7487	5.461955441328115E-4
āph	21	1.5320029954306187E-6
ogh	1185	8.644874045644205E-5
ebh	365	2.662767111105599E-5
ge	4681	3.414907629338441E-4
bā	11279	8.228315135934261E-4
akh	713	5.20151493210491E-5
ga	80679	0.005885736650873661
aā	25	1.8238130897983556E-6
iḷ	571	4.165589097099444E-5
udh	834	6.0842404675673144E-5
§ī	73	5.325534222211198E-6
ḷī	138	1.0067448255686923E-5
gy	138	1.0067448255686923E-5
cā	13347	9.73697332381546E-4
he	10527	7.679712158522915E-4
ṃgh	13	9.483828066951449E-7
ajh	26	1.8967656133902898E-6
ha	48149	0.003512591058428041
ūdh	4	2.918100943677369E-7
ṃṭh	4	2.918100943677369E-7
gi	7882	5.750117909516255E-4
i*	305266	0.022269925066815393
gg	21489	0.0015676767794670745
ṇṭh	916	6.682451161021175E-5
gu	2468	1.8004682822489367E-4
gr	233	1.6997937996920675E-5
aī	6	4.3771514155160536E-7
ibh	5202	3.7949902772524185E-4
iḍ	133	9.702685637727252E-6
go	9732	7.099739595967039E-4
bhā	18253	0.0013316024131235754
du	19119	0.0013947792985541903
§ā	56531	0.004124079111175634
dv	5748	4.1933110560643793E-4
ñu	603	4.399037172593634E-5
§dh	24809	0.001809879157792296
ghu	16	1.1672403774709476E-6
ṃdh	76	5.544391792987001E-6
ṭṭh	38297	0.002793862796000305
ea	6	4.3771514155160536E-7
ec	1391	1.0147696031638051E-4
ed	9830	7.171233069087135E-4
de	23131	0.0016874648232050305
dd	8382	6.114880527475926E-4
gho	2601	1.8974951386262093E-4
§ñ	4308	3.1427947163405266E-4
ghi	255	1.8602893515943227E-5
di	31773	0.002317920532086526
eṭ	1028	7.499519425250838E-5
dm	1	7.295252359193423E-8
ghe	1658	1.2095528411542694E-4
ḷā	1854	1.3525397873944604E-4
do	8695	6.34322192631868E-4
gha	7068	5.156284367477911E-4
dp	1	7.295252359193423E-8
dr	4124	3.008562072931367E-4
jha	5584	4.073668917373607E-4
eu	4	2.918100943677369E-7
añ	63342	0.0046209587493602974
§ch	7152	5.217564487295136E-4
khi	7905	5.7668969899424E-4
ev	46693	0.0034063721840781845
aṭh	2074	1.513035339296716E-4
jhe	824	6.01128794397538E-5
§th	3883	2.832746491074806E-4
ey	23880	0.0017421062633753892
khe	4510	3.2901588139962336E-4
jhi	609	4.442808686748794E-5
kha	56050	0.004088988947327913
ṭā	1174	8.564626269693078E-5
jṭh	1	7.295252359193423E-8
eh	16542	0.001206780645257776
eg	396	2.8889199342405952E-5
ñc	25833	0.0018845825419504369
khy	113	8.243635165888568E-6
ojh	1	7.295252359193423E-8
jho	835	6.0915357199265075E-5
ña	17903	0.0013060690298663984
el	1255	9.155541710787745E-5
ñh	3002	2.1900347582298654E-4
jhu	118	8.608397783848239E-6
ek	21198	0.0015464475951018216
mbh	4186	3.0537926375583666E-4
agh	725	5.2890579604152315E-5
ggh	710	5.17962917502733E-5
